facilitate,促进，使便利
appointment,约会;预约;任命
agenda,议事日程;议题
dilemma,窘境;困境
conscious,意识到的;神志清醒的;有意识的;困境的
violate,违反;侵犯;亵渎
conviction,定罪;坚定的信念;坚定
panel,仪表盘;面板;专家咨询组
diffuse,传播;(使)分散;扩散的;冗长的
dispute,争论;纠纷;争论
promising,有前途的;有希望的
mission,任务;使命;代表团
admission,准许进入;承认;入场费
resistance,抵抗;抵制;阻力
embryo,胚胎;萌芽
embody,体现;代表;包含
embrace,拥抱;欣然接受;信奉;接纳;拥抱
reveal,揭示;透露;露出
retreat,撤退;逃避
resort,诉诸;求助于;采取
amateur,业余爱好者;外行;业余的
jury,陪审团
justice,公正;正义;司法制度
justify,证明...正确;为...辩解
epidemic,流行病;(坏事的)泛滥;流行性的
democracy,民主;民主制度;民主国家
pose,造成;引起;摆好姿势
propose,提议;计划;提出(观点、方法)
composition,作文;作品;成分;创作
recruit,招募;说服;新兵
concrete,具体的;确实的;混凝土制的
property,财产;所有物;房地产;属性
royal,皇室的;王室的;盛大的
reign,君主统治时期;统治
systematic,系统的;有条理的;有计划的
diminish,(使)减少;(使)减弱;贬低
minister,部长，大臣
prominent,重要的;著名的;杰出的;显著的;突出的
reasonable,合理的;(价格)公道的
chronic,长期的;慢性的;长期患病的
linguistic,语言的;语言学的
ethic,道德准则;道德体系;伦理学
estimate,估算;估价;估计
candidate,候选人，申请人;应试者
combat,战斗;斗争;防止;与...作斗争
welfare,福利;幸福
commerce,商业;贸易;商务
commercial,商业的;贸易的;广告
organic,有机的;有机物的;器官的
narrative,叙述;描述
privilege,特权;荣幸;给予特权
approval,赞同;同意;批准
formulate,制定;构想;确切表达
formation,形成;编队
reform,改革;改进
incentive,激励，鼓励;刺激
legacy,遗产;遗留;后遗症
loyal,忠诚的;忠实的
loyalty,忠诚
legitimate,合法的;合理的
legislation,立法;法律，法规
elegant,优雅的，高雅的;简明的
personality,个性，性格;名人;特色
authority,权威;权力;职权;当局
celebrity,名人;名誉
integrity,完整;正直
scrutiny,仔细检查;认真彻底的审查
norm,规范;标准;常态
lobby,游说团体;门厅;游说
solar,太阳能的;太阳的
drama,戏剧;戏，剧
cunning,狡猾的;巧妙的;坏主意
sheer,(用来强调事物的大小、程度或数量);纯粹的;陡峭的
strain,压力;拉伤，劳损
merit,价值;优点;长处;值得
scheme,计划，方案;密谋
bonus,奖金;红利;额外的好处
cite,引用;列举;表彰;传讯
census,人口普查
rural,乡村的，农村的
ritual,仪式;惯例;仪式上的
fabric,(社会/机构等的)结构
patent,专利的
